key,value
H_H,0
H_C,1
H_N,2
H_O,3
H_S,4
H_Cl,5
H_Br,6
H_F,7
C_H,9
C_C,10
C_N,11
C_O,12
C_S,13
C_Cl,14
C_Br,15
C_F,16
N_H,18
N_C,19
N_N,20
N_O,21
N_S,22
N_Cl,23
N_Br,24
N_F,25
O_H,27
O_C,28
O_N,29
O_O,30
O_S,31
O_Cl,32
O_Br,33
O_F,34
S_H,36
S_C,37
S_N,38
S_O,39
S_S,40
S_Cl,41
S_Br,42
S_F,43
Cl_H,45
Cl_C,46
Cl_N,47
Cl_O,48
Cl_S,49
Cl_Cl,50
Cl_Br,51
Cl_F,52
Br_H,54
Br_C,55
Br_N,56
Br_O,57
Br_S,58
Br_Cl,59
Br_Br,60
Br_F,61
F_H,63
F_C,64
F_N,65
F_O,66
F_S,67
F_Cl,68
F_Br,69
F_F,70
H_<UNK>,8
C_<UNK>,17
N_<UNK>,26
O_<UNK>,35
S_<UNK>,44
Cl_<UNK>,53
Br_<UNK>,62
F_<UNK>,71
<UNK>_H,72
<UNK>_C,73
<UNK>_N,74
<UNK>_O,75
<UNK>_S,76
<UNK>_Cl,77
<UNK>_Br,78
<UNK>_F,79
<UNK>_<UNK>,80
